date,school,text
12-May-20,Austin,"Admissions has suspended campus visits, Admission Welcome Center tours and in-person events until further notice and will soon be announcing a number of online and virtual options for prospective students and their families.

All events at the Frank Erwin Center and Bass Concert Hall are postponed for the immediate future.

Worldwide recall of all university-sponsored travelers: this includes faculty, staff and students 

Cancellation of all education abroad programs through August 18 (includes spring and summer programs)

Suspension of all university sponsored international and domestic travel through April 30 with the possibility that this date could be extended

Restricted Regions requests will not be accepted. Faculty/staff who require travel approval for COVID-19 pandemic research must contact Global Risk & Safety in Texas Global for further direction.

Cancellation of all visiting delegations to UT until April 30 with the possibility of date extension"
13-May-20,Austin,"COVID-19 Identified within UT Community - from President Gregory L. Fenves

COVID-19 resources, information for staff - from Darrell Bazzell, Senior VP and Chief Financial Officer 

UT Austin closed operations and canceled classes, Friday March 13."
15-May-20,Austin,"Through March 30, students are on spring break and UT will be dedicated to three efforts. Faculty and staff members needed to support these priorities have been notified by their departments and are continuing to work either on campus or remotely.

Providing continued support to UTs education and research missions in preparation for the transition to online learning; 

Maintaining critical mission services on campus such as public safety, utilities, core administrative functions, IT support for online learning, business operations and vital research functions; and

Supporting students who are on campus, living in residence halls and relying on university services.

UT Operations Update - from President Gregory L. Fenves

President Fenves COVID-19 testing has been reported negative - from Dr. Amy Young"
16-May-20,Austin,"Starting March 16, 2020, all campus buildings will require UT ID access to enter. Separate protocols are in place for the Student Services Building, parts of which serve as a health care facility. Staff, contract employees and deliveries should use the north doors on the first floor or ground floor. Visitors and most patients will use the south entrance on Dean Keeton, and patients being directed to the UHS respiratory clinic will use the east doors.

Employees attempting to enter a building should enter via the buildings celebrated entrance using their UT ID card. A celebrated entrance is typically a main entrance, but employees should look for the ID card swipe pad and words Celebrated Entrance printed on the doors to locate the buildings celebrated entrance.

Any questions or concerns related to building access can be directed to seccontrol@its.utexas.edu."
17-May-20,Austin,"Starting March 16, 2020, all campus buildings will require UT ID access to enter. Separate protocols are in place for the Student Services Building, parts of which serve as a health care facility. Staff, contract employees and deliveries should use the north doors on the first floor or ground floor. Visitors and most patients will use the south entrance on Dean Keeton, and patients being directed to the UHS respiratory clinic will use the east doors.

Employees attempting to enter a building should enter via the buildings celebrated entrance using their UT ID card. A celebrated entrance is typically a main entrance, but employees should look for the ID card swipe pad and words Celebrated Entrance printed on the doors to locate the buildings celebrated entrance.

Any questions or concerns related to building access can be directed to seccontrol@its.utexas.edu."
18-May-20,Austin,"New COVID-19 Cases in UT Community - from President Gregory L. Fenves

UT Austin: Our New Reality - from President Gregory L. Fenves 

3/17/2020"
19-May-20,Austin,"Working Through These Remote Days Ahead - from Soncia Reagins-Lilly, VP for Student Affairs and Dean of Students

Timekeeping Guidelines for UT Employees March 13-15, 2020  "
20-May-20,Austin,"Dear UT Community,

I just wanted to share a short video message with you on this Friday afternoon. I hope you are keeping safe during this challenging time. We will get through this together.
 
Sincerely, 
Greg"
23-May-20,Austin,"Reimbursement for services no longer available - from Darrell Bazzell, Senior VP and Chief Financial"
24-May-20,Austin,"City of Austin Stay Home  Work SafeOrder - from President Gregory L. Fenves

City of Austin Announces Stay at Home  Work Safe Order

Individuals must remain in their homes with exceptions for essential work and activities. When conducting an allowed activity, people must maintain at least six feet of social distancing. The Order goes into effect at 11:59 p.m., Tuesday, March 24 and will last until April 13 unless modified.

Grocery stores, hospitals and other critical infrastructure to remain open.

Non-essential businesses to close.

Students should stay where they are. Do not return to campus. Dorm move out information will be provided soon.

Students who have been approved for temporary emergency housing will be moved to San Jacinto Residence Hall in the weeks ahead.

On-campus markets and food halls will close and housing staff members will deliver food to individual student dorm rooms.

All work taking place on campus must meet social distancing requirements, however, there are exceptions. Supervisors will provide this information directly to affected employees.

Updates - Faculty Resources - from Tasha Beretvas, Senior Vice Provost for Faculty Affairs

Timekeeping Guidelines for UT Employees March 16-30, 2020"
